team,total_players,avg_minutes,minutes_variance,minutes_range,coefficient_of_variation,workload_distribution_risk,top_3_workload_players
Rayo Vallecano,28,680.7241379310345,696.628303050369,1792,102.336359801736,HIGH,"Iván Balliu (1793), Francisco Garcia (1787), Catena (1710)"
Fulham,29,753.40625,764.281018211487,2066,101.44341359147035,HIGH,"Tim Ream (2067), João Palhinha (1955), Andreas Pereira (1904)"
Toulouse,28,737.5,738.856980701295,1973,100.18399738322644,HIGH,"Maxime Dupé (1980), Stijn Spierings (1980), Anthony Rouault (1972)"
Spezia,33,646.3055555555555,640.78219252252,1744,99.14539446774711,HIGH,"Bart?omiej Dr?gowski (1752), Dimitris Nikolaou (1689), Mehdi Bourabia (1666)"
Stuttgart,30,597.0882352941177,585.659243548983,1789,98.08587892549836,HIGH,"Waldemar Anton (1794), Florian Müller (1710), Wataru Endo (1662)"
Espanyol,30,627.8235294117648,605.155200257989,1770,96.38937884742634,HIGH,"Sergi Darder (1773), Joselu (1710), Brian Oliván (1651)"
Everton,28,719.551724137931,689.345579217135,1873,95.80208845208662,HIGH,"James Tarkowski (1890), Alex Iwobi (1872), Jordan Pickford (1800)"
Newcastle Utd,25,802.4137931034483,762.131762007134,1979,94.9798929875672,HIGH,"Nick Pope (1980), Kieran Trippier (1954), Fabian Schär (1873)"
Rennes,32,646.0243902439024,606.107972551297,1968,93.8212212579876,HIGH,"Arthur Theate (1972), Steve Mandanda (1755), Benjamin Bourigeaud (1699)"
Lens,28,751.3030303030303,702.99104212147,1976,93.56957362968785,HIGH,"Brice Samba (1980), Kevin Danso (1980), Salis Abdul Samed (1799)"
Hoffenheim,31,614.5714285714286,574.204067317857,1799,93.43162415678752,HIGH,"Oliver Baumann (1800), Christoph Baumgartner (1600), Angeliño (1597)"
Schalke 04,34,539.1052631578947,500.768802967602,1763,92.88887295113187,HIGH,"Maya Yoshida (1788), Tom Krauß (1636), Alexander Schwolow (1530)"
Angers,31,638.6176470588235,591.822660513541,1949,92.6724563969069,HIGH,"Cédric Hountondji (1967), Batista Mendy (1622), Adrien Hunou (1589)"
Augsburg,33,573.8,528.270919799569,1645,92.06533980473492,HIGH,"Jeffrey Gouweleeuw (1646), Elvis Rexhbeçaj (1603), Ermedin Demirovi? (1502)"
Arsenal,25,842.1,774.993764157337,1889,92.03108468796307,HIGH,"Gabriel Dos Santos (1890), Aaron Ramsdale (1890), William Saliba (1875)"
Bournemouth,29,706.8235294117648,641.275739424972,1964,90.7264278480736,HIGH,"Jefferson Lerma (1973), Adam Smith (1805), Chris Mepham (1559)"
Nott'ham Forest,33,643.421052631579,580.111621671952,1806,90.16049743776759,HIGH,"Danilo (1813), Brennan Johnson (1796), Dean Henderson (1620)"
Southampton,31,678.6216216216217,611.827560644308,1979,90.15739274299811,HIGH,"James Ward-Prowse (1980), Gavin Bazunu (1980), Mohammed Salisu (1889)"
Tottenham,27,781.1333333333333,697.165726764241,2050,89.2505411066281,HIGH,"Harry Kane (2055), Pierre Højbjerg (1961), Eric Dier (1915)"
Real Sociedad,30,616.5454545454545,548.476189712752,1794,88.9595707289925,HIGH,"Álex Remiro (1800), Martín Zubimendi (1601), Brais Méndez (1451)"
Lorient,28,726.2941176470588,644.343900714977,1969,88.71666244557066,HIGH,"Montassar Talbi (1980), Vincent Le Goff (1980), Enzo Le Fée (1928)"
Wolves,31,669.3333333333334,591.385052822401,1979,88.35434056111569,HIGH,"Max Kilman (1980), José Sá (1980), Rúben Neves (1890)"
Auxerre,30,645.8888888888889,566.032193823323,1951,87.63615593342348,HIGH,"Birama Touré (1963), Jubal (1777), Benoît Costil (1710)"
Roma,26,799.5666666666667,697.473701560006,1979,87.23146307083078,HIGH,"Rui Patrício (1980), Chris Smalling (1953), Roger Ibanez (1890)"
Cádiz,34,605.4594594594595,526.936881872466,1873,87.03091076368736,HIGH,"Jeremías Ledesma (1890), Alfonso Espino (1772), Luis Hernández (1709)"
Wolfsburg,25,692.2758620689655,596.753652005805,1792,86.2017130313227,HIGH,"Mickey van de Ven (1800), Koen Casteels (1800), Ridle Baku (1730)"
Mallorca,26,750.6785714285714,644.590139866178,1873,85.86766219255428,HIGH,"Predrag Rajkovi? (1890), Antonio Raillo (1800), Vedat Muriqi (1654)"
Freiburg,23,801.6,685.784830200649,1786,85.55199977553006,HIGH,"Matthias Ginter (1800), Mark Flekken (1800), Christian Günter (1765)"
Strasbourg,28,687.8125,587.778345181682,1971,85.45618830446989,HIGH,"Matz Sels (1980), Alexander Djiku (1796), Jean-Ricner Bellegarde (1589)"
Sampdoria,31,608.05,519.243678282073,1880,85.39489816332095,HIGH,"Emil Audero (1890), Tommaso Augello (1626), Omar Colley (1384)"
Sassuolo,29,654.1428571428571,557.708449179062,1720,85.25789788716824,HIGH,"Davide Frattesi (1726), Andrea Consigli (1710), Jeremy Toljan (1679)"
Nantes,28,739.516129032258,625.88507310143,1860,84.63440465057505,HIGH,"Alban Lafont (1889), Andrei Girotto (1872), Ludovic Blas (1667)"
Aston Villa,25,741.2903225806451,626.415048432927,1783,84.50333551532087,HIGH,"Ezri Konsa (1792), Tyrone Mings (1710), Emiliano Martínez (1654)"
Hertha BSC,26,684.1034482758621,577.722334741451,1691,84.44955747518564,HIGH,"Oliver Christensen (1710), Marc-Oliver Kempf (1654), Lucas Tousart (1594)"
Hellas Verona,34,585.7,494.462577983047,1884,84.4224992287941,HIGH,"Lorenzo Montipò (1890), Adrien Tameze (1562), Isak Hien (1421)"
Union Berlin,28,640.625,538.506342251567,1701,84.05952659536656,HIGH,"Robin Knoche (1710), Rani Khedira (1663), Diogo Leite (1458)"
Brighton,24,834.4,700.250788408458,1878,83.92267358682382,HIGH,"Robert Sánchez (1890), Lewis Dunk (1889), Pascal Groß (1821)"
M'Gladbach,26,706.1379310344828,590.284902407178,1609,83.59342792171189,HIGH,"Marcus Thuram (1612), Ramy Bensebaini (1608), Kouadio Koné (1560)"
Almería,27,678.2121212121212,566.245571592825,1875,83.49092472437883,HIGH,"Sergio Akieme (1890), Fernando (1800), Rodrigo Ely (1715)"
Sevilla,33,593.725,494.144377713276,1799,83.22782057573389,HIGH,"Fernando (1800), Yassine Bounou (1665), Nemanja Gudelj (1604)"
Nice,30,721.4736842105264,599.923902239235,1951,83.1525688834656,HIGH,"Dante (1980), Kasper Schmeichel (1890), Jean-Clair Todibo (1759)"
Ajaccio,33,675.9411764705883,560.063413139948,1709,82.85682728552011,HIGH,"Benjamin Leroy (1718), Vincent Marchetti (1655), Mounaim El Idrissy (1589)"
Clermont Foot,26,874.0769230769231,720.103210551206,2047,82.38442081462358,HIGH,"Mory Diaw (2070), Mateusz Wieteska (2069), Alidu Seidu (1753)"
Marseille,29,748.2368421052631,615.975360783579,1921,82.32358073286674,HIGH,"Chancel Mbemba (1925), Valentin Rongier (1772), Leonardo Balerdi (1765)"
Leeds United,28,729.3030303030303,598.874751348753,1889,82.11603770519321,HIGH,"Illan Meslier (1890), Robin Koch (1752), Tyler Adams (1706)"
Werder Bremen,24,793.56,650.457088002993,1737,81.96697010975767,HIGH,"Ji?í Pavlenka (1738), Niclas Füllkrug (1667), Marvin Ducksch (1661)"
Chelsea,32,618.6842105263158,505.308848840912,1785,81.67476076543878,HIGH,"Thiago Silva (1794), Kai Havertz (1591), Mason Mount (1539)"
Leicester City,27,754.1290322580645,615.857815946478,1977,81.66478011096252,HIGH,"Danny Ward (1980), Timothy Castagne (1821), Harvey Barnes (1696)"
Udinese,25,756.6206896551724,614.880558308052,1889,81.26668576671912,HIGH,"Marco Silvestri (1890), Walace (1810), Nehuén Pérez (1573)"
Napoli,24,805.2222222222222,652.646702243042,1878,81.05174996808856,HIGH,"Alex Meret (1890), Giovanni Di Lorenzo (1878), Kim Min-jae (1755)"
